source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4689625866544538880,5.9206504064,0.0593,-72.14549074082,0.0508,0.17,0.0589,5.402,0.072,-2.098,0.067,4.043,14.446165,0.00286,14.8632,0.003506,13.714623,0.004001,1.148577,0.417035,0.731542,9.29,0.33,B&H+18,58.36,17.5,9.29,0.33,16.073,0.0045,14.66,0.0009,15.586,0.0012,13.64,0.0008,-1.4590006,0.0048754485,1.655,0.085,0.783,b'00 23 40.96',b'-72 08 43.8\r',b'NGC104',b'00234090-7208438',12.89,0.03,12.28,0.03,0.26123180590969386,-0.031174793224620707,-0.06407260759518049,0.15599339668695938,-0.09565522835201008,0.0712542404116684,-115.9454303770143,0.017764809745922806,0.18212159140448295
4689638781528028160,5.92083366609,0.0294,-72.07499267793,0.0412,0.112,0.0406,5.457,0.039,-3.07,0.049,1.174,15.294744,0.003015,15.531549,0.013113,14.488584,0.011709,1.042966,0.236805,0.806161,,,,,,,,16.948,0.0111,15.537,0.002,16.419,0.0023,14.601,0.0019,-1.2890015,0.011721774,1.554,0.019,1.203,b'00 23 41.00',b'-72 04 30.0\r',b'NGC104',,,,,,1.107610121053261,-0.031237449925667623,0.006425436576969566,0.212624722127307,0.0974145247690845,0.031891448901911784,168.3765776258869,-0.18863750211959565,-0.13825612062321377
4689638025618553728,5.92184103065,0.0476,-72.08143247368,0.077,0.0842,0.0685,4.169,0.058,-3.048,0.109,2.077,15.639649,0.004463,15.461081,0.032344,14.488153,0.014526,0.972927,-0.178569,1.151496,,,,,,,,16.785,0.0116,15.809,0.0016,16.601,0.0019,14.896,0.0015,-1.5209999,0.01200125,1.86,0.225,0.531,b'00 23 41.25',b'-72 04 53.1\r',b'NGC104',,,,,,0.014772168642200356,-0.03091666549227019,-1.3830214152322806e-05,-1.075465724083751,0.09529485061148465,0.030916668585663522,-179.97436939478382,1.075422987427749,-0.09577593823099623
4689637750741222272,5.9231406734,0.1041,-72.10539595901,0.0921,0.1331,0.1016,5.563,0.14,-2.163,0.134,3.015,15.633277,0.004849,15.576056,0.022058,14.598377,0.01267,0.977678,-0.057221,1.0349,,,,,,,,16.979,0.0161,15.782,0.0021,16.616,0.0028,14.87,0.0019,-1.3829985,0.01668832,1.669,0.125,0.883,b'00 23 41.54',b'-72 06 19.4\r',b'NGC104',,,,,,0.655235827667368,-0.03047733635258358,-0.02397661938166552,0.31700282704075755,-0.08252985122936894,0.03877816793147623,-141.8077556153043,-0.19811701696337772,0.26086704714338094
4689637956900190720,5.92330898818,0.0357,-72.09128704586,0.0481,0.0579,0.0508,5.885,0.044,-2.314,0.067,2.343,13.949078,0.003078,14.171391,0.015723,12.994698,0.017822,1.176694,0.222314,0.95438,,,,,,,,15.808,0.0071,14.171,0.002,15.137,0.0019,13.137,0.0012,-1.3290005,0.007685701,2.023,0.193,0.893,b'00 23 41.60',b'-72 05 28.6\r',b'NGC104',,,,,,0.9192746154530296,-0.03044882175174691,-0.009867640841653447,0.6392439438864054,-0.05305627464605141,0.03200782844632736,-162.04389082772622,-0.5917516295252074,0.24754352552435044
4689639163757333120,5.92295688039,0.0447,-72.03039812327,0.0436,0.0738,0.0522,4.811,0.049,-2.754,0.061,1.106,16.322742,0.003179,16.57646,0.017005,15.571967,0.011525,1.004493,0.253717,0.750775,,,,,,,,17.646,0.0116,16.54,0.0013,17.345,0.0018,15.628,0.0019,-1.4159985,0.012027052,1.159,0.025,0.769,b'00 23 41.51',b'-72 01 49.4\r',b'NGC104',,,,,,,-0.03065756525022042,0.051021013685069026,-0.43401331942575283,0.036778715591948466,0.059523357974189624,121.00086418502745,0.2550642223155344,0.35307573954340965
4689638850247542400,5.92426478961,0.0775,-72.06182859602,0.104,0.0458,0.0999,5.902,0.086,-2.471,0.168,1.931,16.247456,0.003733,16.440279,0.008815,15.421983,0.006714,1.018296,0.192823,0.825473,,,,,,,,17.561,0.0196,16.433,0.0027,17.246,0.0032,15.514,0.0023,-1.4169998,0.020246727,1.464,-0.101,1.208,b'00 23 41.83',b'-72 03 42.6\r',b'NGC104',,,,,,0.6186138172411191,-0.030202884529176497,0.01959125047759673,0.656458766542083,-0.021559183929226868,0.03600043512457458,147.030342078682,-0.5624743041692754,-0.33915419462382707
4689642389285682688,5.9242853214,0.0274,-71.99471694894,0.0291,0.0839,0.0326,5.427,0.032,-3.224,0.039,1.105,15.551231,0.002776,15.984575,0.007373,14.907262,0.00518,1.077313,0.433344,0.64397,,,,,,,,16.956,0.0038,15.788,0.0012,16.643,0.0011,14.838,0.001,-1.4919996,0.0042261095,1.304,-0.021,0.454,b'00 23 41.83',b'-71 59 41.0\r',b'NGC104',,,,,,0.1475296936404684,-0.03030579832241547,0.08670278618969388,0.18268402945666465,0.1298970847584677,0.09184669044127117,109.26639019385354,0.06234360525706093,-0.21531368310171053
4689625866544661376,5.92604273677,0.0358,-72.14933590912,0.0329,0.1769,0.0403,6.291,0.042,-3.119,0.043,1.019,16.227686,0.002807,16.596485,0.009872,15.58006,0.005389,1.016425,0.368799,0.647626,,,,,,,,17.539,0.0051,16.453,0.0018,17.266,0.0017,15.53,0.0019,-1.4630022,0.00594979,1.24,0.142,0.585,b'00 23 42.25',b'-72 08 57.6\r',b'NGC104',,,,,,0.41592436177945147,-0.029515351149944587,-0.06791505078484723,1.0464139733104845,0.10483135943651463,0.07405140158439213,-113.48938973006857,-0.513223276768518,0.9179181257844995
4689637961174799104,5.9257735426,0.0381,-72.09068065893,0.0506,0.1725,0.0531,5.175,0.051,-3.327,0.065,2.12,15.238249,0.003223,15.399729,0.018367,14.3324,0.018871,1.067328,0.16148,0.905849,,,,,,,,16.718,0.0039,15.431,0.0022,16.294,0.0023,14.478,0.0011,-1.3920012,0.0051961523,1.739,0.264,0.994,b'00 23 42.18',b'-72 05 26.4\r',b'NGC104',,,,,,0.58765656414106,-0.029691941487273766,-0.00926002399419946,-0.06923606119514093,0.14895794845277807,0.03110240237757911,-162.67886934326913,0.021747480879598446,-0.16281630646980447
