source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t,p_p1,p_p2
4421572319022269056,229.70721408411,0.0778,2.07970537802,0.0754,0.0606,0.095,4.147,0.12,-10.077,0.123,1.08,17.168356,0.002971,17.47247,0.02691,16.570288,0.013724,0.902182,0.304113,0.598068,,,,,,,,17.995,0.0105,17.372,0.0009,18.045,0.0013,16.52,0.0011,-1.5750000000000028,0.010716342659695,1.059,0.064,0.316,229.70719564214,2.07975016619,,,,,,,-0.0470342304677376,0.0691684767023748,-0.0012931049152991,0.0642655099403409,-0.2113414984482746,0.0691805629468924,-1.0710200362407638,0.0682046221732404,-0.2101033418307754,0.97184,0.02816
4421473770997908352,229.70726321741,0.0612,1.96320455443,0.0781,0.0163,0.1014,4.293,0.087,-9.869,0.086,0.95,16.85231,0.002927,17.245005,0.007637,16.289854,0.006017,0.955151,0.392694,0.562456,,,,,,,,17.839,0.002,17.048,0.001,17.754,0.0016,16.18,0.0014,-1.4890000000000043,0.0033286633954186,1.032,0.034,0.448,229.70724412475,1.96324841814,,,,,,,0.940063496377792,0.0692225453580623,-0.1177938432588062,0.2102337725124423,0.0003025254563389,0.1366277801017392,-59.55901639126291,0.1062542420475769,0.1814066334877532,0.00496,0.99504
4421569261010307072,229.70749049816,0.046,2.05374419929,0.0447,0.0544,0.0557,3.997,0.062,-9.842,0.065,1.057,16.332642,0.002847,16.725916,0.005273,15.728522,0.004413,0.997394,0.393274,0.604119,,,,,,,,17.364,0.0031,16.53,0.0007,17.256,0.0007,15.635,0.0009,-1.513,0.0033763886032268,1.046,0.07,0.17,229.7074727201,2.05378794154,,,,,,,0.7509366285129351,0.0694458439941367,-0.0272542704511127,-0.0857410626259529,0.0308624714559737,0.0746024162201223,-21.42770289460725,-0.0910894706521765,-0.0025942823486762,0.024,0.976
4421574208812883840,229.70776258961,0.0305,2.12749423272,0.0315,0.1144,0.0364,3.925,0.042,-9.876,0.045,0.958,15.638614,0.002791,16.070099,0.003522,15.038774,0.004454,1.031324,0.431485,0.599839,,,,,,,,16.785,0.0022,15.868,0.0004,16.633,0.0008,14.939,0.0014,-1.541999999999998,0.0028425340807103,1.06,-0.02,0.29,229.70774513217,2.12753812515,,,,,,,0.6881095528705311,0.0697144846612199,0.0464957687747056,-0.157715310942391,-0.0019677347713754,0.0837971711069673,33.70113034239523,-0.1323019956404099,0.0858730064417832,0.04036,0.95964
4421575377044108544,229.70786888682,0.0613,2.17274348269,0.0597,0.1895,0.0763,4.205,0.081,-9.978,0.082,1.028,16.97328,0.002904,17.336199,0.010365,16.387297,0.007302,0.948902,0.362919,0.585983,,,,,,,,17.872,0.003,17.162,0.0008,17.863,0.0011,16.301,0.0032,-1.5530000000000008,0.004654030511288,1.153,0.223,0.387,229.70785018253,2.1727878304,,,,,,,0.3012616328192405,0.0698186383303977,0.0917449892977931,0.1223021230075969,-0.1056815354970457,0.1152900052891102,52.728587773906334,-0.0100336854607885,-0.161324893904359,0.6288,0.3712
4421568878753338112,229.70840187104,0.0738,2.04110061484,0.0755,0.0048,0.0919,4.081,0.098,-9.486,0.103,1.633,16.600698,0.003164,16.860626,0.005983,15.906199,0.007528,0.954428,0.259928,0.6945,,,,,,,,17.383,0.0038,16.675,0.0007,17.343,0.0007,15.824,0.0011,-1.479000000000001,0.0040779897008207,1.071,0.143,0.123,229.70838371956,2.04114277604,,,,,,,1.0447004503994506,0.0703571858158337,-0.0398978123169278,-0.0017297710617069,0.3990734561131895,0.0808824395255271,-29.55649520755319,-0.1983602345675487,0.3462886553503576,0.002,0.998
4421572250307558656,229.70906800558,0.0526,2.06770291537,0.0521,0.0557,0.0651,4.074,0.075,-9.878,0.075,0.971,16.667753,0.002858,17.070509,0.008042,16.098192,0.005843,0.972317,0.402756,0.569561,,,,,,,,17.631,0.0016,16.878,0.0006,17.577,0.0007,16.005,0.0012,-1.5180000000000042,0.0022315913604421,1.021,0.018,0.059,229.70904988792,2.06774681929,,,,,,,0.6757310813676124,0.0710217143306749,-0.0132954850753766,-0.008685343022923,-0.0057332311839339,0.0722554761236652,-10.60322100050074,-0.0074820884229315,-0.00723349680761,0.04968,0.95032
4421575170882162944,229.70939955252,0.0707,2.16517737214,0.0671,0.0666,0.0844,4.149,0.094,-9.909,0.097,0.983,17.281994,0.002988,17.616243,0.012564,16.694805,0.010579,0.921438,0.334249,0.587189,,,,,,,,18.129,0.0036,17.458,0.0018,18.112,0.0026,16.631,0.0015,-1.463999999999995,0.0053600373133029,1.121,0.162,0.542,229.7093810986,2.16522141187,,,,,,,1.3398047589038242,0.071348559256631,0.0841789561496184,0.0663476507367998,-0.0344814158684369,0.1103481470910879,49.7159932279978,0.0165947480228673,-0.0729081143401885,0.0006,0.9994
4421575170885664128,229.70989773599,0.0301,2.16607629458,0.0292,0.0365,0.035,4.169,0.04,-9.895,0.042,1.045,15.527484,0.002799,15.959579,0.004043,14.908923,0.004057,1.050656,0.432096,0.618561,,,,,,,,16.708,0.0032,15.756,0.0006,16.541,0.001,14.816,0.0013,-1.5580000000000016,0.0037322915213043,1.199,0.075,0.355,229.70987919164,2.16612027189,,,,,,,0.5717916458560947,0.0718463440398997,0.0850779002138222,0.086363522671853,-0.0199016350590632,0.1113559439666007,49.81967170128648,0.0405161492060626,-0.078823694279245,0.11516,0.88484
4421569570247923072,229.82971335085,0.0143,2.04257321766,0.0122,0.0749,0.0163,4.066,0.019,-9.831,0.017,1.126,12.821239,0.002784,13.456097,0.003062,12.057545,0.003919,1.398552,0.634858,0.763694,,,,,,,,15.305,0.0098,13.186,0.0021,14.351,0.0042,11.944,0.0033,-1.4530000000000012,0.0119251834367442,1.717,0.009,0.875,229.82969526674,2.04261691287,,,,,,,1.223580201926426,0.1915911823826128,-0.0384151400855499,-0.0127903014379034,0.0506405755177446,0.1954044629852656,-11.33779442047116,-0.0224962813586117,0.0471378512946337,0.0012,0.9988
4421554383244073728,229.83072055989,0.0294,1.90451849232,0.0275,0.0984,0.037,4.094,0.042,-9.87,0.039,1.057,15.159395,0.002795,15.617953,0.004006,14.530534,0.005167,1.08742,0.458558,0.628861,,,,,,,,16.466,0.0103,15.393,0.0012,16.209,0.0062,14.446,0.0061,-1.5059999999999985,0.0148384635323203,1.272,0.142,0.582,229.83070235483,1.90456235772,,,,,,,0.9136858084971003,0.1926137374912694,-0.1764694656462947,0.0151671965330996,0.0059471786973101,0.2612307871898801,-42.49539028595915,0.007165751727904,0.0146309530552678,0.0062,0.9938
4421556238669432960,229.83111121738,0.0577,2.00871151274,0.0536,0.134,0.0725,4.099,0.076,-9.97,0.073,0.989,16.767101,0.002861,17.170567,0.010253,16.19063,0.007118,0.979937,0.403465,0.576471,,,,,,,,17.715,0.0061,16.982,0.0017,17.682,0.003,16.115,0.0024,-1.533999999999999,0.0078083288865159,1.083,-0.023,0.168,229.83109298988,2.00875582468,,,,,,,0.5254723849682408,0.1929921869194348,-0.0722766581068525,0.020251578916356,-0.0941232148378537,0.2060822639603925,-20.53120739641661,0.0519758843703846,-0.0810420475058137,0.16996,0.83004
4421570493661036288,229.8698403529,0.0161,2.11412678984,0.0158,0.0885,0.0201,4.056,0.021,-9.951,0.021,1.013,14.290522,0.002767,14.786537,0.003296,13.628258,0.003896,1.158279,0.496016,0.662264,,,,,,,,15.837,0.0203,14.548,0.0022,15.446,0.0094,13.539,0.0039,-1.516,0.0245768183457501,1.546,0.037,0.533,229.86982231566,2.11417101451,,,,,,,0.9482837975425072,0.2316819135657513,0.0331438089165024,-0.0214289707771177,-0.0683940397406708,0.2340406399388403,8.14134565878226,-0.0308986676052048,-0.0646700688173291,0.00504,0.99496
4421578057103918848,229.89279793,0.0298,2.20727784821,0.0255,0.0629,0.0342,4.228,0.041,-9.791,0.034,1.144,15.211701,0.00278,15.659008,0.003618,14.588675,0.004127,1.070333,0.447307,0.623027,,,,,,,,16.457,0.015,15.448,0.002,16.297,0.0144,14.506,0.0025,-1.6310000000000002,0.0254159398803192,1.63,0.032,0.631,229.89277912363,2.20732136328,,,,,,,-0.0932298280606947,0.2546080389442413,0.1262983034668799,0.1513594953182781,0.1026700412011411,0.2842120950164584,26.38370802650032,0.1812181719295693,0.0247145371341024,0.98028,0.01972
4421570257443204864,229.89484245551,0.0605,2.09924797556,0.0585,0.2262,0.0782,4.042,0.084,-9.786,0.088,0.969,17.02077,0.00289,17.417267,0.006518,16.462835,0.008121,0.954432,0.396498,0.557934,,,,,,,,17.934,0.0493,17.234,0.0041,17.919,0.008,16.385,0.0055,-1.5189999999999984,0.0508796619485625,1.31,-0.0,0.547,229.89482447856,2.09929146809,,,,,,,0.6433411747424979,0.2566692223970341,0.0182688654548135,-0.0346549333974714,0.1035905050956506,0.2573185597093692,4.071257989108742,-0.0272128594815324,0.1057894958565999,0.06656,0.93344
4421563316776131072,230.02267797863,0.0148,2.07429307854,0.0141,0.0946,0.0193,4.084,0.018,-9.906,0.018,1.187,13.557646,0.002765,14.120759,0.002988,12.845952,0.003859,1.274807,0.563113,0.711694,,,,,,,,15.457,0.0037,13.874,0.0127,14.871,0.0109,12.759,0.014,-1.5259999999999998,0.0211497044896613,2.375,-0.064,0.649,230.02265981704,2.07433710635,,,,,,,0.7654048984096394,0.3844230242000911,-0.0066600606468105,0.0114680223547584,-0.0121208329070672,0.3844807120558365,-0.9925399127226286,0.0116762614526407,-0.0119203626446455,0.02132,0.97868
4421567920980479872,229.78603696091,0.0612,2.00244878815,0.0617,0.2106,0.0812,4.12,0.085,-9.811,0.086,1.086,16.907099,0.002916,17.31571,0.01051,16.329895,0.008466,0.985815,0.408611,0.577204,,,,,,,,17.881,0.0024,17.118,0.0023,17.836,0.0012,16.24,0.0037,-1.5509999999999984,0.0047254629402842,1.045,-0.023,0.305,229.78601863736,2.00249239155,,,,,,,0.3351769319639105,0.1479463952414395,-0.0785442469767163,0.0397793382376967,0.0670687419549629,0.1675032375749068,-27.963683185941704,0.0036855757164266,0.0778911319065847,0.55304,0.44696
4421581664876381568,229.78771611633,0.0304,2.22914447354,0.0278,0.0794,0.035,4.14,0.04,-9.916,0.037,1.076,15.560419,0.002785,15.992041,0.004143,14.942205,0.004309,1.049835,0.431622,0.618214,,,,,,,,16.672,0.0037,15.786,0.0021,16.58,0.004,14.868,0.0023,-1.6199999999999957,0.0071400280111495,1.423,0.118,0.888,229.78769770065,2.22918854296,,,,,,,0.0753176404353361,0.1496026499871508,0.1481514060388507,0.0599447812984169,-0.0339480910084503,0.2105464129223444,44.72074437549503,0.0187058077373143,-0.0663019037805679,0.92756,0.07244
