source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4421620177842616960,229.59538653517,0.0708,2.12172630811,0.0675,0.1427,0.0801,4.71,0.097,-10.118,0.095,1.242,16.787027,0.002925,17.140104,0.006861,16.182587,0.009039,0.957518,0.353077,0.604441,,,,,,,,17.726,0.0051,16.958,0.0017,17.632,0.0015,16.125,0.0018,-1.4130000000000038,0.005809475019311126,1.19,0.218,0.848,229.59536558918,2.12177127905,,,,,,,1.6051616208513384,-0.04258424625455075,0.040726879719335994,0.6235954219340986,-0.26089665334938283,0.058924500513296514,136.27715999551555,-0.6309913076412037,-0.24246295318526156
4421572830127572608,229.59550567745,0.0684,2.0700876313,0.0708,0.0383,0.0858,4.008,0.106,-9.699,0.121,1.046,17.068996,0.00338,17.169662,0.030151,16.321707,0.016888,0.847956,0.100666,0.74729,,,,,,,,17.962,0.0115,17.266,0.0012,17.968,0.001,16.43,0.0026,-1.5440000000000005,0.011874763155532828,1.168,0.156,0.348,229.59548785438,2.07013073979,,,,,,,0.36369436205069444,-0.04246658635817438,-0.010911796787335826,-0.07838250739789009,0.17157992067826325,0.043846074693687176,-165.58958252981904,0.03321602452052611,-0.1856884012559514
4421573040581844608,229.59560448755,0.1004,2.07960269723,0.1107,0.0195,0.1171,3.382,0.133,-9.979,0.146,1.312,17.258883,0.003867,17.434399,0.018434,16.558111,0.017723,0.876287,0.175516,0.700771,,,,,,,,18.036,0.0178,17.467,0.0013,18.141,0.0016,16.626,0.0029,-1.619999999999994,0.018176083186429357,1.12,0.097,0.528,229.5955894466,2.0796470498,,,,,,,-0.7123312238650926,-0.04236758586563152,-0.0013967335828801305,-0.7043878213673448,-0.11743006562771387,0.042390602694267095,-178.11181201633988,0.707874578646798,0.09415733699283228
4421621934489673728,229.59605447897,0.0623,2.20708573806,0.0593,0.2472,0.0729,4.221,0.09,-9.849,0.085,1.01,17.035978,0.002915,17.432686,0.008559,16.478657,0.006813,0.954029,0.396708,0.557322,,,,,,,,17.965,0.0049,17.244,0.0009,17.928,0.001,16.393,0.0028,-1.498000000000001,0.005818075283115542,1.056,0.018,0.441,229.59603570431,2.20712951125,,,,,,,0.8710910626736386,-0.04191440047812584,0.12608619341619948,0.13461420804798588,0.02074415007827305,0.1328704073058707,108.38817763700209,-0.022779511017661302,-0.1342847670015203
4421573040581833088,229.59651892752,0.044,2.07584230595,0.0433,0.1432,0.0521,4.279,0.058,-9.776,0.059,1.055,16.246595,0.002866,16.59763,0.008925,15.617255,0.01112,0.980374,0.351034,0.62934,,,,,,,,17.224,0.0049,16.447,0.0013,17.159,0.0013,15.557,0.0028,-1.5369999999999973,0.00593548650070068,1.147,-0.135,1.108,229.59649989809,2.07588575638,,,,,,,0.5531881764893065,-0.04145384711582196,-0.005157149143837038,0.19264769214565844,0.09195014045566254,0.041773408144341294,-172.90843924755362,-0.20252569616335478,-0.06746335310680131
4421472332185563776,229.59702478453,0.0608,1.90224452321,0.0481,0.0911,0.0667,4.154,0.08,-9.693,0.063,0.911,16.713112,0.002916,17.105467,0.007102,16.158386,0.005354,0.947081,0.392355,0.554726,,,,,,,,17.609,0.002,16.898,0.0017,17.638,0.0031,16.07,0.003,-1.5970000000000013,0.00567626637852735,1.108,0.037,0.255,229.59700631328,1.9022876022,,,,,,,-0.0036003136974913992,-0.040952631207614464,-0.17875465505490712,0.06768725532190097,0.17233961273998266,0.1833857810917349,-102.90376113867725,-0.18310295941367669,0.027492051693769257
4421573036286003840,229.59704307882,0.0477,2.07521095838,0.047,0.071,0.0552,3.971,0.064,-9.489,0.066,1.089,16.383692,0.002848,16.758274,0.025474,15.763853,0.016382,0.994421,0.374582,0.619839,,,,,,,,17.4,0.0028,16.6,0.001,17.328,0.0008,15.72,0.0025,-1.5359999999999996,0.003920459156782532,1.217,0.085,0.759,229.59702541832,2.07525313223,,,,,,,0.5318697537127498,-0.0409300562679563,-0.005788510394338233,-0.11532762199161525,0.38922615105024055,0.04133734822994129,-171.95035965490436,0.05968758379321251,-0.4015405949546743
4421620177847179776,229.59748603156,0.0637,2.11293785456,0.0622,0.1644,0.0736,4.326,0.087,-9.836,0.089,1.045,17.026184,0.002909,17.35497,0.014013,16.43132,0.010362,0.923651,0.328787,0.594864,,,,,,,,17.909,0.0051,17.217,0.0015,17.893,0.0022,16.383,0.0016,-1.4940000000000033,0.006184658438426491,1.145,0.178,0.692,229.59746679069,2.11298156824,,,,,,,0.9112471577493,-0.040486419369979085,0.03193837268119645,0.23967322267160843,0.031111480277301786,0.051567526631833074,141.7312809805154,-0.16890204207894446,-0.17286780513560585
4421478031604943872,229.59770907982,0.0726,2.02332580724,0.0603,0.0019,0.0841,4.028,0.107,-9.878,0.078,1.037,16.771574,0.002914,17.165531,0.008154,16.186672,0.00724,0.978859,0.393957,0.584902,,,,,,,,17.636,0.0055,16.972,0.0006,17.671,0.0009,16.105,0.0014,-1.600999999999999,0.005816356247686347,1.019,0.084,0.22,229.59769116584,2.0233697111,,,,,,,-0.0743830728250234,-0.040265796930860534,-0.05767366892352368,-0.05830968507857191,-0.01507408265198269,0.07033908223439882,-124.92143708421948,0.04573934558815025,-0.03918111288527673
4421478993681808000,229.5978405956,0.0147,2.06357709646,0.0167,0.0777,0.0187,4.187,0.022,-9.604,0.024,0.971,13.923327,0.002764,14.382159,0.003089,13.297422,0.003825,1.084737,0.458832,0.625905,,,,,,,,15.232,0.0027,14.181,0.0004,14.996,0.0006,13.209,0.0011,-1.551000000000002,0.0030364452901377953,1.339,0.005,0.719,229.59782197468,2.06361978233,,,,,,,0.5125022502324073,-0.040133357187804655,-0.017422392538271974,0.10069663524376717,0.2697278784974509,0.04375186991342823,-156.5337319766948,-0.1997765815459114,-0.2073216299713605
