ID,x_1,y_1,U,sigma_U,N_U,B,sigma_B,N_B,V,sigma_V,N_V,R,sigma_R,N_R,I,sigma_I,N_I,chi,sharp,vary,wt,ra_1,dec_1,cc,sigma_cc,source_id,ra_2,dec_2,x_2,y_2,plx,pmra,pmdec,plxe,pmrae,pmdece,pmcorr,g_mag,bp_rp,qflag,memberprob,x,y,mu_x,mu_y,r,theta,mu_r,mu_t,Del_CUBI,Del_CUBI_sigma,p_p1,p_p2
40880,201.815,-353.856,17.712,0.007,44,17.646,0.0008,254,16.946,0.0007,280,16.519,0.0032,34,16.073,0.0013,97,1.017,-0.035,0.227,347.0,229.60066666666663,2.0375277777777776,-1.5070000000000014,0.0072090221250874,4421478134688349568,229.600679,2.037535,-0.0377,-0.0435,0.2291,3.9501,-9.9987,0.0683,0.0759,0.0763,-0.3911,16.7237,0.9611,3,1.0,-0.0372974011446374,-0.0434645547350181,-0.1361174425158842,-0.1392736631577912,0.0572735859751892,-130.63324782121117,0.1943355636328931,-0.0126015917225044,0.7613916989564772,0.0072090221250874,0.07768,0.92232
41020,203.235,-334.274,17.025,0.0046,46,16.905,0.0009,254,16.155,0.0007,288,15.709,0.0025,46,15.243,0.0008,105,1.061,-0.029,0.457,362.0,229.6010833333333,2.042972222222222,-1.5420000000000034,0.0048394214530251,4421478894895767296,229.601074,2.042973,-0.0373,-0.0381,0.19,4.0719,-9.825,0.0532,0.0565,0.0597,-0.4985,15.9191,1.0176,3,1.0,-0.0369025261939882,-0.0380265654011994,-0.0143011909479475,0.0406322259353049,0.0529888301032367,-134.14054914086032,-0.019199403372017,-0.0385601446722636,0.604318696717955,0.0048394214530251,0.202,0.798
42395,215.425,-329.501,17.054,0.0051,46,16.919,0.0008,258,16.182,0.0006,293,15.743,0.0029,43,15.285,0.0013,108,1.182,0.148,0.408,366.5,229.6044583333333,2.044305555555556,-1.4990000000000023,0.0053833075334779,4421478929253606144,229.60446,2.044297,-0.0339,-0.0367,0.1636,4.1535,-9.7156,0.0539,0.0581,0.0642,-0.263,15.9697,0.9972,3,1.0,-0.0335186514367926,-0.0367026412430275,0.0674111633732367,0.1540967385687387,0.0497049682461983,-132.4038599239487,-0.1592454211269035,-0.0541383933541674,0.943810717290483,0.0053833075334779,0.04168,0.95832
42784,218.705,-331.523,17.873,0.007,46,17.855,0.0012,258,17.168,0.0013,293,16.739,0.0039,43,16.297,0.0025,107,1.048,-0.044,0.54,366.0,229.605375,2.04375,-1.5399999999999991,0.0076243032468547,4421478169048089728,229.605373,2.043739,-0.033,-0.0373,0.1479,3.9181,-9.5511,0.0874,0.1048,0.0913,-0.2684,16.9315,0.9527,3,1.0,-0.0326062440042735,-0.0372606602576443,-0.167955745949878,0.3245352518814546,0.0495128665187324,-131.18868259564064,-0.1336216663020177,-0.3401139700247719,0.4619431010994804,0.0076243032468547,0.47628,0.52372
44963,236.249,-363.554,16.503,0.0047,44,16.278,0.0007,257,15.479,0.0006,294,15.0,0.0028,35,14.526,0.0009,103,1.11,-0.024,0.533,359.0,229.61025,2.0348333333333333,-1.5269999999999977,0.0048867166891482,4421478138981412736,229.610249,2.034841,-0.0281,-0.0462,0.1454,3.8179,-9.7862,0.0351,0.0366,0.0364,-0.3789,15.23,1.0733,3,1.0,-0.0277334996957783,-0.0461587511221168,-0.2680012049140615,0.0812991005050627,0.0538495804118218,-120.9986537834792,0.068337512755797,-0.2715956073442138,0.798836577144723,0.0048867166891482,0.06044,0.93956
44781,234.852,-330.574,15.532,0.0028,46,14.938,0.0004,259,13.936,0.0004,298,13.371,0.0017,46,12.826,0.001,110,1.497,0.121,0.464,372.0,229.609875,2.044,-1.518000000000001,0.0030265491900843,4421478169048091264,229.609861,2.044001,-0.0285,-0.037,0.1507,4.0617,-9.6726,0.0187,0.0192,0.0191,-0.3525,13.6288,1.2518,3,1.0,-0.0281210948910916,-0.0369987466778362,-0.0242126146027673,0.1990283969446208,0.0464726073467422,-127.2368436907891,-0.1438033368255265,-0.1397109652607548,0.8522537356693938,0.0030265491900843,0.05072,0.94928
51617,281.707,-469.664,17.094,0.0038,31,16.958,0.0007,222,16.208,0.0006,250,15.759,0.0027,33,15.299,0.001,77,0.992,0.032,0.165,300.5,229.622875,2.005361111111111,-1.522999999999996,0.0040521599178709,4421477761024396032,229.622884,2.005365,-0.0155,-0.0757,0.129,4.1084,-9.5309,0.0475,0.0532,0.0578,-0.5009,15.9898,1.0131,3,0.99999,-0.0151067421024616,-0.0756349056711981,0.0229128907374245,0.3453423159515154,0.0771288053378329,-101.29518970384756,-0.3431412233929167,-0.0451709702919235,0.7440756015728361,0.0040521599178709,0.086,0.914
55575,306.018,-464.931,16.746,0.0056,25,16.609,0.0009,228,15.839,0.0006,254,15.39,0.0024,33,14.911,0.0013,74,1.139,0.147,0.392,301.0,229.62966666666665,2.0066944444444443,-1.5610000000000053,0.0058881236400062,4421477795383993984,229.629639,2.006681,-0.0088,-0.0743,0.1114,4.0729,-10.061,0.0458,0.0463,0.0493,-0.3442,15.6177,1.0347,3,1.0,-0.0083558725934011,-0.0743189570210836,-0.0123721358295913,-0.202788332372604,0.0747872180221916,-96.41497248904768,0.2029009468459489,0.0103625894671652,0.5181027323244936,0.0058881236400062,0.34572,0.65428
48067,257.797,-429.154,17.926,0.0041,36,17.93,0.001,232,17.242,0.0008,255,16.824,0.0015,32,16.385,0.0015,81,0.972,-0.025,0.19,311.5,229.61625,2.016611111111111,-1.5489999999999997,0.0045891175622335,4421478065964678400,229.616239,2.016618,-0.0222,-0.0644,0.296,3.5776,-9.7295,0.0918,0.0974,0.1053,-0.4849,17.0307,0.9377,3,0.99994,-0.0217475220798006,-0.0643818364863056,-0.5081046557183333,0.1398794136632432,0.0679556884003158,-108.6644393656102,0.0300831869846411,-0.526147881674217,0.3828550070572896,0.0045891175622335,0.67428,0.32572
52349,286.41,-434.021,17.095,0.0053,37,17.028,0.0011,228,16.299,0.0008,252,15.864,0.0041,33,15.4,0.0022,75,1.215,0.264,0.575,305.5,229.6242083333333,2.015277777777778,-1.5609999999999982,0.0059455865984778,4421477864103480064,229.624196,2.015264,-0.0142,-0.0658,0.111,3.9467,-9.9732,0.0508,0.0539,0.0567,-0.4285,16.098,1.0001,3,1.0,-0.0137954620108451,-0.0657359252332331,-0.1387489559426075,-0.1119893086326715,0.0671678988681489,-101.85219709793122,0.1380991057671455,-0.1127896937202249,0.4208076902108218,0.0059455865984778,0.57436,0.42564
57268,316.176,-407.784,16.741,0.0031,38,16.584,0.0007,238,15.809,0.0005,253,15.34,0.0024,31,14.873,0.0011,86,1.078,0.025,0.25,315.5,229.6324583333333,2.0225555555555554,-1.5540000000000005,0.0034351128074635,4421477894170192384,229.632466,2.022554,-0.0059,-0.0585,0.1158,4.0535,-9.574,0.0389,0.0406,0.0424,-0.427,15.5667,1.0454,3,1.0,-0.0055305523741463,-0.0584459801653717,-0.0316787196893189,0.3019838944220438,0.0587070660743168,-95.40561662685396,-0.297656569366691,-0.0599865025177396,0.5803718604866915,0.0034351128074635,0.23408,0.76592
57261,316.126,-402.903,16.893,0.0037,38,16.826,0.0007,239,16.063,0.0007,260,15.602,0.0034,31,15.141,0.0014,88,1.146,0.144,0.238,320.5,229.6324583333333,2.0239166666666666,-1.6180000000000003,0.0040779897008207,4421477894170192512,229.63245,2.02391,-0.006,-0.0571,0.1942,3.8617,-10.152,0.0483,0.0472,0.0498,-0.4376,15.8422,1.0353,3,1.0,-0.0055465377689719,-0.0570899807984715,-0.2234812346916216,-0.2961884582436235,0.0573587830135235,-95.5491164350206,0.3164108363047368,-0.1937927958541375,0.0073958966590033,0.0040779897008207,0.98776,0.01224
66697,373.046,-411.013,17.797,0.0066,38,17.76,0.0018,239,17.067,0.0015,257,16.664,0.0047,32,16.218,0.0033,84,1.301,0.378,0.661,317.5,229.6482916666667,2.0216666666666665,-1.5050000000000026,0.0078057670987546,4421477829743735680,229.648276,2.021665,0.0099,-0.0594,0.1758,4.0683,-9.8133,0.0768,0.085,0.0878,-0.3018,16.8961,0.9635,3,1.0,0.0102696037430921,-0.0593349559533851,-0.0163667511085768,0.0553986987471439,0.060217121809584,-80.18061297955579,-0.0573783551032094,-0.006679126468102,0.7638347327695024,0.0078057670987546,0.07664,0.92336
49547,267.601,-382.434,17.882,0.006,37,17.824,0.0009,248,17.12,0.0007,277,16.694,0.0023,31,16.26,0.0017,91,1.066,0.107,0.21,334.5,229.61895833333327,2.029611111111111,-1.5060000000000002,0.0063647466563878,4421478104621665664,229.618966,2.029594,-0.0194,-0.0514,0.1595,3.7025,-9.969,0.0809,0.0937,0.0973,-0.4615,16.9267,0.9778,3,1.0,-0.0190220590066269,-0.0514058783700915,-0.3831198750655594,-0.1074517890837841,0.0548124352665729,-110.30632070417168,0.2337313131243285,-0.3220192523945315,0.7492196498022072,0.0063647466563878,0.08404,0.91596
49886,269.855,-383.195,17.91,0.005,37,17.899,0.0011,247,17.199,0.0009,275,16.763,0.0037,31,16.33,0.0015,89,1.008,-0.009,0.281,332.0,229.6195833333333,2.0293888888888887,-1.5580000000000034,0.0054470175325585,4421478104619780992,229.61959,2.029384,-0.0188,-0.0516,0.1108,3.8145,-9.6941,0.0816,0.094,0.0986,-0.469,16.9821,0.9923,3,1.0,-0.0183984528848975,-0.0516158856845938,-0.2710964131351985,0.1770680502500991,0.0547969225738349,-109.6185801234874,-0.0757664748449362,-0.3148107382598527,0.3112253272854122,0.0054470175325585,0.81292,0.18708
55152,303.511,-367.78,18.141,0.0059,39,18.125,0.0013,258,17.448,0.0012,286,17.021,0.0034,30,16.59,0.0025,105,1.049,-0.067,0.33,351.5,229.6289583333333,2.0336666666666665,-1.519000000000002,0.0066663333249995,4421478100328621952,229.628947,2.033665,-0.0095,-0.0474,0.0608,4.0489,-10.068,0.0898,0.1,0.1009,-0.3955,17.2157,0.9385,3,1.0,-0.0090472979192823,-0.0473349686609302,-0.0363954462897962,-0.2091930855291393,0.0481918339324361,-100.8206356188951,0.2123062717936482,0.003524556839777,0.6094875295570513,0.0066663333249995,0.19272,0.80728
48477,260.545,-357.127,15.619,0.0024,44,15.078,0.0005,259,14.098,0.0004,296,13.545,0.0018,37,13.01,0.0009,105,1.549,0.172,0.492,363.0,229.617,2.0366388888888887,-1.5269999999999992,0.0026589471600616,4421478169048094848,229.617006,2.036624,-0.0214,-0.0444,0.1281,3.9876,-10.163,0.021,0.025,0.0232,-0.3884,13.8066,1.2232,3,1.0,-0.0209807379306991,-0.0443758559853213,-0.0980867198973588,-0.3082420265359921,0.0490857205157126,-115.30460839034689,0.3205909045950709,0.0430769478277222,0.726815763913003,0.0026589471600616,0.09332,0.90668
